roomId,pos,day
19,(28:20),0
11,(22:19),0
8,(14:10),0
17,(14:24),0
12,(5:25),0
6,(3:2),0
1,(14:4),0
14,(8:6),0
4,(19:8),0
9,(17:10),0
16,(17:20),0
13,(5:13),0
0,(24:8),0
18,(35:20),0
15,(23:15),0
2,(33:5),0
7,(8:1),0
3,(18:26),0
5,(24:24),0
10,(35:26),0
24,(67:24),1
26,(62:22),1
27,(58:13),1
33,(61:15),1
31,(67:14),1
28,(61:18),1
32,(62:4),1
20,(52:1),1
35,(70:1),1
23,(72:4),1
38,(72:17),1
25,(69:14),1
21,(61:26),1
30,(49:29),1
22,(52:18),1
39,(72:8),1
29,(63:3),1
36,(60:5),1
34,(56:5),1
37,(57:8),1
53,(50:43),2
42,(51:73),2
54,(52:67),2
45,(66:73),2
41,(69:35),2
57,(67:42),2
56,(69:66),2
59,(57:62),2
50,(65:56),2
44,(71:53),2
40,(73:53),2
52,(72:53),2
46,(72:31),2
58,(56:38),2
47,(56:53),2
43,(52:55),2
48,(55:48),2
51,(51:59),2
49,(53:37),2
55,(59:43),2
74,(42:30),3
62,(43:38),3
61,(49:46),3
65,(35:61),3
60,(42:51),3
70,(44:39),3
75,(44:38),3
68,(47:55),3
66,(35:60),3
71,(27:57),3
79,(28:65),3
67,(30:64),3
72,(37:71),3
73,(26:66),3
78,(34:58),3
69,(40:32),3
76,(38:35),3
63,(30:33),3
64,(40:50),3
77,(39:32),3
88,(24:61),4
80,(21:68),4
90,(4:53),4
85,(4:37),4
86,(10:34),4
91,(8:43),4
83,(20:47),4
97,(16:34),4
95,(2:68),4
84,(7:67),4
98,(17:70),4
92,(7:72),4
82,(19:62),4
93,(1:57),4
89,(7:57),4
94,(3:37),4
87,(18:44),4
81,(21:50),4
96,(23:31),4
99,(24:34),4
5,(24:24),5
17,(14:24),5
3,(18:26),5
7,(8:1),5
6,(3:2),5
14,(8:6),5
2,(33:5),5
1,(14:4),5
0,(24:8),5
8,(14:10),5
9,(17:10),5
4,(19:8),5
15,(23:15),5
11,(22:19),5
16,(17:20),5
10,(35:26),5
18,(35:20),5
12,(5:25),5
13,(5:13),5
19,(28:20),5
21,(61:26),6
69,(40:32),6
30,(49:29),6
64,(40:50),6
85,(4:37),6
26,(62:22),6
22,(52:18),6
36,(60:5),6
27,(58:13),6
29,(63:3),6
32,(62:4),6
37,(57:8),6
34,(56:5),6
35,(70:1),6
39,(72:8),6
38,(72:17),6
23,(72:4),6
31,(67:14),6
25,(69:14),6
24,(67:24),6
41,(69:35),7
49,(53:37),7
8,(14:10),7
2,(33:5),7
