day,area,roomId,areaNum,pos
0,0,10,0,(13:24)
0,0,3,0,(14:17)
0,0,4,0,(13:15)
0,0,2,0,(16:14)
0,0,1,0,(10:14)
0,0,15,0,(7:13)
0,0,16,0,(3:24)
0,0,13,0,(0:9)
0,0,18,0,(7:5)
0,0,0,0,(9:0)
0,0,17,0,(8:8)
0,0,19,0,(19:8)
0,0,11,0,(20:9)
0,0,7,0,(14:3)
0,0,9,0,(19:1)
0,0,14,0,(23:0)
0,0,8,0,(28:4)
0,0,5,0,(32:2)
0,0,12,0,(30:6)
0,0,6,0,(31:8)
1,2,55,2,(61:34)
1,2,59,2,(71:33)
1,2,48,2,(71:36)
1,2,46,2,(65:37)
1,2,57,2,(66:42)
1,2,54,2,(63:51)
1,2,45,2,(67:53)
1,2,43,2,(73:53)
1,2,40,2,(73:69)
1,2,52,2,(70:72)
1,2,41,2,(54:70)
1,2,51,2,(55:61)
1,2,56,2,(56:64)
1,2,58,2,(61:64)
1,2,49,2,(61:61)
1,2,44,2,(55:56)
1,2,53,2,(56:52)
1,2,50,2,(53:49)
1,2,42,2,(54:43)
1,2,47,2,(55:40)
2,1,33,1,(41:26)
2,1,28,1,(41:24)
2,1,21,1,(48:22)
2,1,37,1,(49:20)
2,1,31,1,(51:10)
2,1,27,1,(51:7)
2,1,35,1,(47:0)
2,1,24,1,(46:0)
2,1,39,1,(44:1)
2,1,26,1,(69:6)
2,1,34,1,(70:12)
2,1,29,1,(70:18)
2,1,23,1,(69:18)
2,1,30,1,(64:16)
2,1,22,1,(64:24)
2,1,32,1,(62:22)
2,1,25,1,(58:21)
2,1,38,1,(58:15)
2,1,36,1,(53:18)
2,1,20,1,(53:23)
3,4,97,4,(6:36)
3,4,96,4,(8:42)
3,4,92,4,(9:44)
3,4,80,4,(3:45)
3,4,89,4,(1:51)
3,4,81,4,(1:65)
3,4,88,4,(3:66)
3,4,87,4,(5:68)
3,4,90,4,(2:68)
3,4,86,4,(1:72)
3,4,94,4,(6:72)
3,4,93,4,(12:72)
3,4,85,4,(8:60)
3,4,98,4,(4:55)
3,4,99,4,(6:55)
3,4,83,4,(13:53)
3,4,82,4,(14:53)
3,4,91,4,(15:53)
3,4,84,4,(17:48)
3,4,95,4,(20:45)
4,3,60,3,(37:37)
4,3,78,3,(46:35)
4,3,66,3,(41:34)
4,3,68,3,(28:34)
4,3,65,3,(29:37)
4,3,74,3,(33:40)
4,3,75,3,(32:45)
4,3,63,3,(29:51)
4,3,67,3,(34:62)
4,3,79,3,(31:66)
4,3,72,3,(31:72)
4,3,64,3,(45:70)
4,3,76,3,(40:65)
4,3,77,3,(42:58)
4,3,70,3,(39:51)
4,3,73,3,(40:50)
4,3,61,3,(46:50)
4,3,71,3,(42:46)
4,3,62,3,(38:43)
4,3,69,3,(39:40)
5,0,6,0,(31:8)
5,0,12,0,(30:6)
5,0,5,0,(32:2)
5,0,8,0,(28:4)
5,0,14,0,(23:0)
5,0,0,0,(9:0)
5,0,7,0,(14:3)
5,0,9,0,(19:1)
5,0,19,0,(19:8)
5,0,11,0,(20:9)
5,0,2,0,(16:14)
5,0,3,0,(14:17)
5,0,4,0,(13:15)
5,0,1,0,(10:14)
5,0,15,0,(7:13)
5,0,17,0,(8:8)
5,0,18,0,(7:5)
5,0,13,0,(0:9)
5,0,16,0,(3:24)
5,0,10,0,(13:24)
6,2,97,4,(6:36)
6,2,42,2,(54:43)
6,2,53,2,(56:52)
6,2,44,2,(55:56)
6,2,56,2,(56:64)
6,2,52,2,(70:72)
6,2,43,2,(73:53)
6,2,54,2,(63:51)
6,2,57,2,(66:42)
6,2,46,2,(65:37)
6,2,59,2,(71:33)
6,2,55,2,(61:34)
6,2,22,1,(64:24)
6,2,29,1,(70:18)
6,2,23,1,(69:18)
6,2,38,1,(58:15)
6,2,36,1,(53:18)
6,2,37,1,(49:20)
6,2,39,1,(44:1)
6,2,28,1,(41:24)
7,1,69,3,(39:40)
7,1,95,4,(20:45)
7,1,85,4,(8:60)
7,1,86,4,(1:72)
7,1,88,4,(3:66)
7,1,98,4,(4:55)
7,1,89,4,(1:51)
7,1,15,0,(7:13)
7,1,18,0,(7:5)
7,1,9,0,(19:1)
7,1,14,0,(23:0)
7,1,24,1,(46:0)
7,1,35,1,(47:0)
7,1,27,1,(51:7)
7,1,31,1,(51:10)
7,1,30,1,(64:16)
7,1,32,1,(62:22)
7,1,20,1,(53:23)
7,1,21,1,(48:22)
7,1,33,1,(41:26)
8,4,66,3,(41:34)
8,4,78,3,(46:35)
8,4,71,3,(42:46)
8,4,61,3,(46:50)
8,4,63,3,(29:51)
8,4,67,3,(34:62)
8,4,79,3,(31:66)
8,4,93,4,(12:72)
8,4,87,4,(5:68)
8,4,90,4,(2:68)
8,4,99,4,(6:55)
8,4,83,4,(13:53)
8,4,82,4,(14:53)
8,4,84,4,(17:48)
8,4,92,4,(9:44)
8,4,96,4,(8:42)
8,4,97,4,(6:36)
8,4,68,3,(28:34)
8,4,65,3,(29:37)
8,4,75,3,(32:45)
9,3,74,3,(33:40)
9,3,69,3,(39:40)
9,3,70,3,(39:51)
9,3,76,3,(40:65)
9,3,72,3,(31:72)
9,3,64,3,(45:70)
9,3,41,2,(54:70)
9,3,56,2,(56:64)
9,3,54,2,(63:51)
9,3,43,2,(73:53)
9,3,57,2,(66:42)
9,3,55,2,(61:34)
9,3,59,2,(71:33)
9,3,29,1,(70:18)
9,3,25,1,(58:21)
9,3,38,1,(58:15)
9,3,39,1,(44:1)
9,3,7,0,(14:3)
9,3,28,1,(41:24)
9,3,60,3,(37:37)
10,0,6,0,(31:8)
10,0,12,0,(30:6)
10,0,8,0,(28:4)
10,0,14,0,(23:0)
10,0,9,0,(19:1)
10,0,19,0,(19:8)
10,0,11,0,(20:9)
10,0,17,0,(8:8)
10,0,18,0,(7:5)
10,0,15,0,(7:13)
10,0,1,0,(10:14)
10,0,2,0,(16:14)
10,0,3,0,(14:17)
10,0,10,0,(13:24)
10,0,16,0,(3:24)
10,0,97,4,(6:36)
10,0,98,4,(4:55)
10,0,88,4,(3:66)
10,0,89,4,(1:51)
10,0,95,4,(20:45)
11,2,28,1,(41:24)
11,2,37,1,(49:20)
11,2,35,1,(47:0)
11,2,38,1,(58:15)
11,2,29,1,(70:18)
11,2,22,1,(64:24)
11,2,59,2,(71:33)
11,2,55,2,(61:34)
11,2,46,2,(65:37)
11,2,57,2,(66:42)
